Category	Size	ExpCount	Count	OddsRatio	Pvalue	PvalueAdj	Genes
Activation of PKB	14	0.0372268	0	0	1	1	
Activation of PUMA and translocation to mitochondria	4	0.0106362	0	0	1	1	
Activation of Rac	4	0.0106362	0	0	1	1	
Activation of RAS in B cells	9	0.0239315	0	0	1	1	
Activation of the AP-1 family of transcription factors	4	0.0106362	0	0	1	1	
Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	14	0.0372268	0	0	1	1	
Activation of the phototransduction cascade	5	0.0132953	0	0	1	1	
Activation of the pre-replicative complex	10	0.0265906	0	0	1	1	
Activation of TRKA receptors	57	0.151566	0	0	1	1	
Activation, translocation and oligomerization of BAX	30	0.0797717	0	0	1	1	
Acyl chain remodeling of CL	6	0.0159543	0	0	1	1	
Acyl chain remodeling of DAG and TAG	2	0.00531811	0	0	1	1	
Acyl chain remodelling of PE	5	0.0132953	0	0	1	1	
Acyl chain remodelling of PG	17	0.045204	0	0	1	1	
Acyl chain remodelling of PI	16	0.0425449	0	0	1	1	
Acyl chain remodelling of PS	11	0.0292496	0	0	1	1	
Adaptive Immune System	9	0.0239315	0	0	1	1	
Adenylate cyclase activating pathway	11	0.0292496	0	0	1	1	
Adherens junctions interactions	10	0.0265906	0	0	1	1	
ADP signalling through P2Y purinoceptor 1	13	0.0345677	0	0	1	1	
ADP signalling through P2Y purinoceptor 12	29	0.0771127	0	0	1	1	
Adrenaline,noradrenaline inhibits insulin secretion	24	0.0638174	0	0	1	1	
Advanced glycosylation endproduct receptor signaling	21	0.0558402	0	0	1	1	
Aflatoxin activation and detoxification	10	0.0265906	0	0	1	1	
Agmatine biosynthesis	2	0.00531811	0	0	1	1	
AKT-mediated inactivation of FOXO1A	4	0.0106362	0	0	1	1	
AKT phosphorylates targets in the cytosol	13	0.0345677	0	0	1	1	
AKT phosphorylates targets in the nucleus	9	0.0239315	0	0	1	1	
Alpha-defensins	10	0.0265906	0	0	1	1	
alpha-linolenic acid (ALA) metabolism	11	0.0292496	0	0	1	1	
alpha-linolenic (omega3) and linoleic (omega6) acid metabolism	11	0.0292496	0	0	1	1	
Alpha-oxidation of phytanate	4	0.0106362	0	0	1	1	
Alternative complement activation	3	0.00797717	0	0	1	1	
AMER1 mutants destabilize the destruction complex	8	0.0212725	0	0	1	1	
Amine compound SLC transporters	16	0.0425449	0	0	1	1	
Amino acid and derivative metabolism	48	0.127635	0	0	1	1	
Amino acid and oligopeptide SLC transporters	3	0.00797717	0	0	1	1	
Amino acid synthesis and interconversion (transamination)	29	0.0771127	0	0	1	1	
Amino acid transport across the plasma membrane	5	0.0132953	0	0	1	1	
AMPK inhibits chREBP transcriptional activation activity	2	0.00531811	0	0	1	1	
Amplification of signal from the kinetochores	2	0.00531811	0	0	1	1	
Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	60	0.159543	0	0	1	1	
Amyloids	7	0.0186134	0	0	1	1	
Anchoring fibril formation	10	0.0265906	0	0	1	1	
Androgen biosynthesis	4	0.0106362	0	0	1	1	
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	22	0.0584993	0	0	1	1	
Antigen Presentation: Folding, assembly and peptide loading of class I MHC	77	0.204747	0	0	1	1	
Antigen processing-Cross presentation	210	0.558402	0	0	1	1	
Antigen processing: Ubiquitination & Proteasome degradation	69	0.183475	0	0	1	1	
Antiviral mechanism by IFN-stimulated genes	20	0.0531811	0	0	1	1	
APC/C:Cdc20 mediated degradation of Cyclin B	68	0.180816	0	0	1	1	
APC/C:Cdc20 mediated degradation of mitotic proteins	63	0.167521	0	0	1	1	
APC/C:Cdc20 mediated degradation of Securin	68	0.180816	0	0	1	1	
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	22	0.0584993	0	0	1	1	
APC-Cdc20 mediated degradation of Nek2A	81	0.215384	0	0	1	1	
APC/C-mediated degradation of cell cycle proteins	5	0.0132953	0	0	1	1	
APC truncation mutants have impaired AXIN binding	11	0.0292496	0	0	1	1	
APOBEC3G mediated resistance to HIV-1 infection	6	0.0159543	0	0	1	1	
Apoptosis	32	0.0850898	0	0	1	1	
Apoptosis induced DNA fragmentation	45	0.119658	0	0	1	1	
Apoptotic cleavage of cellular proteins	49	0.130294	0	0	1	1	
Apoptotic execution  phase	3	0.00797717	0	0	1	1	
Apoptotic factor-mediated response	43	0.114339	0	0	1	1	
Aquaporin-mediated transport	24	0.0638174	0	0	1	1	
Arachidonate production from DAG	65	0.172839	0	0	1	1	
Arachidonic acid metabolism	50	0.132953	0	0	1	1	
ARMS-mediated activation	11	0.0292496	0	0	1	1	
Asparagine N-linked glycosylation	6	0.0159543	0	0	1	1	
Assembly of collagen fibrils and other multimeric structures	66	0.175498	0	0	1	1	
Assembly Of The HIV Virion	4	0.0106362	0	0	1	1	
Assembly of the ORC complex at the origin of replication	5	0.0132953	0	0	1	1	
Assembly of the pre-replicative complex	2	0.00531811	0	0	1	1	
Assembly of the RAD50-MRE11-NBS1 complex at DNA double-strand breaks	14	0.0372268	0	0	1	1	
Assembly of the RAD51-ssDNA nucleoprotein complex	29	0.0771127	0	0	1	1	
Assembly of Viral Components at the Budding Site	4	0.0106362	0	0	1	1	
Association of licensing factors with the pre-replicative complex	26	0.0691355	0	0	1	1	
Association of TriC/CCT with target proteins during biosynthesis	10	0.0265906	0	0	1	1	
Astrocytic Glutamate-Glutamine Uptake And Metabolism	5	0.0132953	0	0	1	1	
Asymmetric localization of PCP proteins	5	0.0132953	0	0	1	1	
A tetrasaccharide linker sequence is required for GAG synthesis	4	0.0106362	0	0	1	1	
ATF4 activates genes	7	0.0186134	0	0	1	1	
ATF6-alpha activates chaperone genes	59	0.156884	0	0	1	1	
ATF6-alpha activates chaperones	50	0.132953	0	0	1	1	
A third proteolytic cleavage releases NICD	3	0.00797717	0	0	1	1	
ATM mediated phosphorylation of repair proteins	8	0.0212725	0	0	1	1	
ATM mediated response to DNA double-strand break	4	0.0106362	0	0	1	1	
Attachment of GPI anchor to uPAR	11	0.0292496	0	0	1	1	
Attenuation phase	2	0.00531811	0	0	1	1	
Autodegradation of the E3 ubiquitin ligase COP1	17	0.045204	0	0	1	1	
Autointegration results in viral DNA circles	41	0.109021	0	0	1	1	
AXIN missense mutants destabilize the destruction complex	3	0.00797717	0	0	1	1	
AXIN mutants destabilize the destruction complex, activating WNT signaling	3	0.00797717	0	0	1	1	
B Cell Activation	8	0.0212725	0	0	1	1	
beta-catenin independent WNT signaling	6	0.0159543	0	0	1	1	
Beta-catenin phosphorylation cascade	7	0.0186134	0	0	1	1	
Beta defensins	9	0.0239315	0	0	1	1	
betaKlotho-mediated ligand binding	27	0.0717945	0	0	1	1	
Beta oxidation of butanoyl-CoA to acetyl-CoA	4	0.0106362	0	0	1	1	
Beta oxidation of hexanoyl-CoA to butanoyl-CoA	30	0.0797717	0	0	1	1	
Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA	37	0.0983851	0	0	1	1	
Beta oxidation of myristoyl-CoA to lauroyl-CoA	1	0.00265906	0	0	1	1	
Beta oxidation of octanoyl-CoA to hexanoyl-CoA	2	0.00531811	0	0	1	1	
Beta-oxidation of very long chain fatty acids	3	0.00797717	0	0	1	1	
BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members	0	0	0	NaN	1	1	
Bicarbonate transporters	5	0.0132953	0	0	1	1	
Binding and entry of HIV virion	10	0.0265906	0	0	1	1	
binding of TCF/LEF:CTNNB1 to target gene promoters	9	0.0239315	0	0	1	1	
Breakdown of the nuclear lamina	3	0.00797717	0	0	1	1	
Budding	9	0.0239315	0	0	1	1	
Budding and maturation of HIV virion	12	0.0319087	0	0	1	1	
Butyrate Response Factor 1 (BRF1) destabilizes mRNA	4	0.0106362	0	0	1	1	
Ca2+ pathway	7	0.0186134	0	0	1	1	
Ca-dependent events	21	0.0558402	0	0	1	1	
Calcitonin-like ligand receptors	11	0.0292496	0	0	1	1	
Calmodulin induced events	68	0.180816	0	0	1	1	
Calnexin/calreticulin cycle	11	0.0292496	0	0	1	1	
CaMK IV-mediated phosphorylation of CREB	49	0.130294	0	0	1	1	
CaM pathway	30	0.0797717	0	0	1	1	
Cam-PDE 1 activation	57	0.151566	0	0	1	1	
Carbohydrate metabolism	59	0.156884	0	0	1	1	
Caspase-8 activation by cleavage	116	0.308451	0	0	1	1	
Cation-coupled Chloride cotransporters	14	0.0372268	0	0	1	1	
CD28 dependent Vav1 pathway	0	0	0	NaN	1	1	
CDO in myogenesis	71	0.188793	0	0	1	1	
CDT1 association with the CDC6:ORC:origin complex	3	0.00797717	0	0	1	1	
Cell-Cell communication	12	0.0319087	0	0	1	1	
Cell-cell junction organization	49	0.130294	0	0	1	1	
Cell Cycle	57	0.151566	0	0	1	1	
Cell Cycle Checkpoints	4	0.0106362	0	0	1	1	
Cell Cycle, Mitotic	8	0.0212725	0	0	1	1	
Cell death signalling via NRAGE, NRIF and NADE	21	0.0558402	0	0	1	1	
cell division	20	0.0531811	0	0	1	1	
Cell-extracellular matrix interactions	48	0.127635	0	0	1	1	
Cell redox homeostasis	123	0.327064	0	0	1	1	
Cell surface interactions at the vascular wall	16	0.0425449	0	0	1	1	
Cellular responses to stress	55	0.146248	0	0	1	1	
Cellular response to heat stress	25	0.0664764	0	0	1	1	
Cellular Senescence	196	0.521175	0	0	1	1	
Centrosome maturation	84	0.223361	0	0	1	1	
Ceramide signalling	5	0.0132953	0	0	1	1	
cGMP effects	6	0.0159543	0	0	1	1	
Chaperonin-mediated protein folding	250	0.664764	0	0	1	1	
Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex	3	0.00797717	0	0	1	1	
CHL1 interactions	42	0.11168	0	0	1	1	
Cholesterol biosynthesis	8	0.0212725	0	0	1	1	
Chondroitin sulfate biosynthesis	10	0.0265906	0	0	1	1	
Chondroitin sulfate/dermatan sulfate metabolism	64	0.17018	0	0	1	1	
ChREBP activates metabolic gene expression	86	0.228679	0	0	1	1	
Chromatin modifying enzymes	14	0.0372268	0	0	1	1	
Chromatin organization	32	0.0850898	0	0	1	1	
Chromosome Maintenance	11	0.0292496	0	0	1	1	
Chylomicron-mediated lipid transport	3	0.00797717	0	0	1	1	
Circadian Clock	3	0.00797717	0	0	1	1	
Citric acid cycle (TCA cycle)	2	0.00531811	0	0	1	1	
Class A/1 (Rhodopsin-like receptors)	2	0.00531811	0	0	1	1	
Class B/2 (Secretin family receptors)	84	0.223361	0	0	1	1	
Class C/3 (Metabotropic glutamate/pheromone receptors)	17	0.045204	0	0	1	1	
Classical antibody-mediated complement activation	28	0.0744536	0	0	1	1	
Class I MHC mediated antigen processing & presentation	9	0.0239315	0	0	1	1	
Clathrin derived vesicle budding	10	0.0265906	0	0	1	1	
Cleavage of Growing Transcript in the Termination Region	9	0.0239315	0	0	1	1	
Clostridium neurotoxicity	7	0.0186134	0	0	1	1	
Cobalamin (Cbl, vitamin B12) transport and metabolism	2	0.00531811	0	0	1	1	
Collagen degradation	16	0.0425449	0	0	1	1	
Collagen formation	0	0	0	NaN	1	1	
Common Pathway	9	0.0239315	0	0	1	1	
Complement cascade	8	0.0212725	0	0	1	1	
Condensation of Prometaphase Chromosomes	49	0.130294	0	0	1	1	
Condensation of Prophase Chromosomes	13	0.0345677	0	0	1	1	
Conjugation of benzoate with glycine	3	0.00797717	0	0	1	1	
Conjugation of phenylacetate with glutamine	15	0.0398859	0	0	1	1	
Conjugation of salicylate with glycine	65	0.172839	0	0	1	1	
Constitutive PI3K/AKT Signaling in Cancer	5	0.0132953	0	0	1	1	
Constitutive Signaling by NOTCH1 HD Domain Mutants	37	0.0983851	0	0	1	1	
Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	64	0.17018	0	0	1	1	
Constitutive Signaling by NOTCH1 PEST Domain Mutants	2	0.00531811	0	0	1	1	
Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase	32	0.0850898	0	0	1	1	
COPII (Coat Protein 2) Mediated Vesicle Transport	23	0.0611583	0	0	1	1	
COPI Mediated Transport	14	0.0372268	0	0	1	1	
Costimulation by the CD28 family	24	0.0638174	0	0	1	1	
Creation of C4 and C2 activators	21	0.0558402	0	0	1	1	
CREB phosphorylation through the activation of CaMKK	14	0.0372268	0	0	1	1	
CREB phosphorylation through the activation of Ras	48	0.127635	0	0	1	1	
CRMPs in Sema3A signaling	23	0.0611583	0	0	1	1	
cRNA Synthesis	13	0.0345677	0	0	1	1	
Crosslinking of collagen fibrils	51	0.135612	0	0	1	1	
Cross-presentation of particulate exogenous antigens (phagosomes)	67	0.178157	0	0	1	1	
Cross-presentation of soluble exogenous antigens (endosomes)	26	0.0691355	0	0	1	1	
CS/DS degradation	7	0.0186134	0	0	1	1	
c-src mediated regulation of Cx43 function and closure of gap junctions	2	0.00531811	0	0	1	1	
CTLA4 inhibitory signaling	50	0.132953	0	0	1	1	
Cyclin A/B1 associated events during G2/M transition	11	0.0292496	0	0	1	1	
Cyclin A:Cdk2-associated events at S phase entry	63	0.167521	0	0	1	1	
Cyclin B2 mediated events	10	0.0265906	0	0	1	1	
Cyclin D associated events in G1	54	0.143589	0	0	1	1	
Cyclin E associated events during G1/S transition	17	0.045204	0	0	1	1	
CYP2E1 reactions	17	0.045204	0	0	1	1	
Cysteine formation from homocysteine	17	0.045204	0	0	1	1	
Cytosolic iron-sulfur cluster assembly	3	0.00797717	0	0	1	1	
Cytosolic tRNA aminoacylation	8	0.0212725	0	0	1	1	
DAG and IP3 signaling	1	0.00265906	0	0	1	1	
DAP12 interactions	2	0.00531811	0	0	1	1	
DAP12 signaling	92	0.244633	0	0	1	1	
DARPP-32 events	102	0.271224	0	0	1	1	
DCC mediated attractive signaling	6	0.0159543	0	0	1	1	
deactivation of the beta-catenin transactivating complex	81	0.215384	0	0	1	1	
Deadenylation-dependent mRNA decay	29	0.0771127	0	0	1	1	
Death Receptor  Signalling	20	0.0531811	0	0	1	1	
Defective AMN causes hereditary megaloblastic anemia 1	12	0.0319087	0	0	1	1	
Defective BTD causes biotidinase deficiency	7	0.0186134	0	0	1	1	
Defective CD320 causes methylmalonic aciduria	23	0.0611583	0	0	1	1	
Defective CUBN causes hereditary megaloblastic anemia 1	24	0.0638174	0	0	1	1	
Defective GIF causes intrinsic factor deficiency	167	0.444063	0	0	1	1	
Defective MMAA causes methylmalonic aciduria type cblA	45	0.119658	0	0	1	1	
Defective MMAB causes methylmalonic aciduria type cblB	10	0.0265906	0	0	1	1	
Defective MMACHC causes methylmalonic aciduria and homocystinuria type cblC	20	0.0531811	0	0	1	1	
Defective MMADHC causes methylmalonic aciduria and homocystinuria type cblD	28	0.0744536	0	0	1	1	
Defective MTR causes methylmalonic aciduria and homocystinuria type cblG	9	0.0239315	0	0	1	1	
Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE	33	0.0877489	0	0	1	1	
Defective MUT causes methylmalonic aciduria mut type	13	0.0345677	0	0	1	1	
Defective TCN2 causes hereditary megaloblastic anemia	9	0.0239315	0	0	1	1	
Defects in biotin (Btn) metabolism	26	0.0691355	0	0	1	1	
Defects in vitamin and cofactor metabolism	9	0.0239315	0	0	1	1	
degradation of AXIN	4	0.0106362	0	0	1	1	
Degradation of beta-catenin by the destruction complex	2	0.00531811	0	0	1	1	
Degradation of cysteine and homocysteine	31	0.0824308	0	0	1	1	
degradation of DVL	2	0.00531811	0	0	1	1	
Degradation of GABA	28	0.0744536	0	0	1	1	
Degradation of the extracellular matrix	8	0.0212725	0	0	1	1	
deletions in the AMER1 gene destabilize the destruction complex	17	0.045204	0	0	1	1	
Depolymerisation of the Nuclear Lamina	2	0.00531811	0	0	1	1	
Deposition of new CENPA-containing nucleosomes at the centromere	3	0.00797717	0	0	1	1	
Dermatan sulfate biosynthesis	2	0.00531811	0	0	1	1	
Detoxification of Reactive Oxygen Species	12	0.0319087	0	0	1	1	
Developmental Biology	21	0.0558402	0	0	1	1	
DEx/H-box helicases activate type I IFN and inflammatory cytokines production	12	0.0319087	0	0	1	1	
Digestion of dietary carbohydrate	63	0.167521	0	0	1	1	
Digestion of dietary lipid	4	0.0106362	0	0	1	1	
Dimerization of procaspase-8	9	0.0239315	0	0	1	1	
disassembly of the destruction complex and recruitment of AXIN to the membrane	11	0.0292496	0	0	1	1	
Disease	2	0.00531811	0	0	1	1	
Diseases associated with visual transduction	10	0.0265906	0	0	1	1	
DNA Damage Recognition in GG-NER	31	0.0824308	0	0	1	1	
DNA Damage/Telomere Stress Induced Senescence	28	0.0744536	0	0	1	1	
DNA Replication	5	0.0132953	0	0	1	1	
DNA replication initiation	13	0.0345677	0	0	1	1	
DNA Replication Pre-Initiation	12	0.0319087	0	0	1	1	
DNA strand elongation	120	0.319087	0	0	1	1	
Dopamine Neurotransmitter Release Cycle	23	0.0611583	0	0	1	1	
Double-Strand Break Repair	5	0.0132953	0	0	1	1	
Downregulation of SMAD2/3:SMAD4 transcriptional activity	5	0.0132953	0	0	1	1	
Downregulation of TGF-beta receptor signaling	3	0.00797717	0	0	1	1	
Downstream signaling events of B Cell Receptor (BCR)	11	0.0292496	0	0	1	1	
Downstream signaling of activated FGFR	14	0.0372268	0	0	1	1	
Downstream signal transduction	6	0.0159543	0	0	1	1	
Downstream TCR signaling	13	0.0345677	0	0	1	1	
DSCAM interactions	17	0.045204	0	0	1	1	
Dual incision reaction in GG-NER	7	0.0186134	0	0	1	1	
Dual incision reaction in TC-NER	12	0.0319087	0	0	1	1	
E2F-enabled inhibition of pre-replication complex formation	12	0.0319087	0	0	1	1	
E2F mediated regulation of DNA replication	13	0.0345677	0	0	1	1	
Early Phase of HIV Life Cycle	23	0.0611583	0	0	1	1	
ECM proteoglycans	9	0.0239315	0	0	1	1	
Effects of PIP2 hydrolysis	9	0.0239315	0	0	1	1	
EGFR Transactivation by Gastrin	15	0.0398859	0	0	1	1	
Electric Transmission Across Gap Junctions	41	0.109021	0	0	1	1	
Elevation of cytosolic Ca2+ levels	42	0.11168	0	0	1	1	
Elongation arrest and recovery	20	0.0531811	0	0	1	1	
Endogenous sterols	2	0.00531811	0	0	1	1	
Endosomal Sorting Complex Required For Transport (ESCRT)	42	0.11168	0	0	1	1	
Endosomal/Vacuolar pathway	3	0.00797717	0	0	1	1	
Energy dependent regulation of mTOR by LKB1-AMPK	32	0.0850898	0	0	1	1	
eNOS activation	2	0.00531811	0	0	1	1	
eNOS activation and regulation	32	0.0850898	0	0	1	1	
Entry of Influenza Virion into Host Cell via Endocytosis	49	0.130294	0	0	1	1	
EPHA-mediated growth cone collapse	28	0.0744536	0	0	1	1	
EPHB-mediated forward signaling	21	0.0558402	0	0	1	1	
EPH-ephrin mediated repulsion of cells	7	0.0186134	0	0	1	1	
EPH-Ephrin signaling	25	0.0664764	0	0	1	1	
Ephrin signaling	44	0.116999	0	0	1	1	
Epigenetic regulation of gene expression	2	0.00531811	0	0	1	1	
ERK1 activation	0	0	0	NaN	1	1	
ERK2 activation	0	0	0	NaN	1	1	
ERK activation	25	0.0664764	0	0	1	1	
ERK/MAPK targets	37	0.0983851	0	0	1	1	
ERKs are inactivated	59	0.156884	0	0	1	1	
ER-Phagosome pathway	17	0.045204	0	0	1	1	
ER Quality Control Compartment (ERQC)	108	0.287178	0	0	1	1	
ER to Golgi Transport	43	0.114339	0	0	1	1	
Erythrocytes take up carbon dioxide and release oxygen	8	0.0212725	0	0	1	1	
Erythrocytes take up oxygen and release carbon dioxide	4	0.0106362	0	0	1	1	
Establishment of Sister Chromatid Cohesion	83	0.220702	0	0	1	1	
Estrogen biosynthesis	5	0.0132953	0	0	1	1	
Ethanol oxidation	102	0.271224	0	0	1	1	
Eukaryotic Translation Elongation	12	0.0319087	0	0	1	1	
Export of Viral Ribonucleoproteins from Nucleus	2	0.00531811	0	0	1	1	
Extracellular matrix organization	3	0.00797717	0	0	1	1	
Extrinsic Pathway for Apoptosis	201	0.53447	0	0	1	1	
Facilitative Na+-independent glucose transporters	178	0.473312	0	0	1	1	
Factors involved in megakaryocyte development and platelet production	124	0.329723	0	0	1	1	
Fanconi Anemia pathway	45	0.119658	0	0	1	1	
FasL/ CD95L signaling	9	0.0239315	0	0	1	1	
Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion	10	0.0265906	0	0	1	1	
Fatty acid, triacylglycerol, and ketone body metabolism	15	0.0398859	0	0	1	1	
Fatty Acyl-CoA Biosynthesis	15	0.0398859	0	0	1	1	
FBXW7 Mutants and NOTCH1 in Cancer	3	0.00797717	0	0	1	1	
Fc epsilon receptor (FCERI) signaling	10	0.0265906	0	0	1	1	
FCERI mediated Ca+2 mobilization	12	0.0319087	0	0	1	1	
FCERI mediated MAPK activation	14	0.0372268	0	0	1	1	
FCERI mediated NF-kB activation	206	0.547766	0	0	1	1	
Fcgamma receptor (FCGR) dependent phagocytosis	24	0.0638174	0	0	1	1	
FCGR activation	20	0.0531811	0	0	1	1	
FGFR1b ligand binding and activation	34	0.0904079	0	0	1	1	
FGFR1c ligand binding and activation	32	0.0850898	0	0	1	1	
FGFR1 ligand binding and activation	33	0.0877489	0	0	1	1	
FGFR2b ligand binding and activation	30	0.0797717	0	0	1	1	
FGFR2c ligand binding and activation	7	0.0186134	0	0	1	1	
FGFR3c ligand binding and activation	40	0.106362	0	0	1	1	
FGFR3 ligand binding and activation	20	0.0531811	0	0	1	1	
FGFR4 ligand binding and activation	30	0.0797717	0	0	1	1	
Ficolins bind to repetitive carbohydrate structures on the target cell surface	10	0.0265906	0	0	1	1	
Formation of a pool of free 40S subunits	8	0.0212725	0	0	1	1	
Formation of apoptosome	27	0.0717945	0	0	1	1	
Formation of ATP by chemiosmotic coupling	13	0.0345677	0	0	1	1	
Formation of HIV-1 elongation complex containing HIV-1 Tat	32	0.0850898	0	0	1	1	
Formation of HIV elongation complex in the absence of HIV Tat	4	0.0106362	0	0	1	1	
Formation of incision complex in GG-NER	49	0.130294	0	0	1	1	
Formation of RNA Pol II elongation complex	14	0.0372268	0	0	1	1	
Formation of Senescence-Associated Heterochromatin Foci (SAHF)	10	0.0265906	0	0	1	1	
Formation of the active cofactor, UDP-glucuronate	9	0.0239315	0	0	1	1	
Formation of the Early Elongation Complex	285	0.757831	0	0	1	1	
Formation of the Editosome	28	0.0744536	0	0	1	1	
Formation of the HIV-1 Early Elongation Complex	27	0.0717945	0	0	1	1	
Formyl peptide receptors bind formyl peptides and many other ligands	21	0.0558402	0	0	1	1	
Free fatty acids regulate insulin secretion	30	0.0797717	0	0	1	1	
Frs2-mediated activation	15	0.0398859	0	0	1	1	
FRS2-mediated cascade	5	0.0132953	0	0	1	1	
Fusion of the Influenza Virion to the Host Cell Endosome	13	0.0345677	0	0	1	1	
G0 and Early G1	9	0.0239315	0	0	1	1	
G1 Phase	5	0.0132953	0	0	1	1	
G1/S-Specific Transcription	51	0.135612	0	0	1	1	
G1/S Transition	42	0.11168	0	0	1	1	
G2/M Checkpoints	8	0.0212725	0	0	1	1	
G2/M DNA damage checkpoint	11	0.0292496	0	0	1	1	
G2/M DNA replication checkpoint	7	0.0186134	0	0	1	1	
G2/M Transition	4	0.0106362	0	0	1	1	
G2 Phase	31	0.0824308	0	0	1	1	
GAB1 signalosome	41	0.109021	0	0	1	1	
GABA A receptor activation	39	0.103703	0	0	1	1	
GABA receptor activation	116	0.308451	0	0	1	1	
GABA synthesis	6	0.0159543	0	0	1	1	
GABA synthesis, release, reuptake and degradation	14	0.0372268	0	0	1	1	
Galactose catabolism	14	0.0372268	0	0	1	1	
G alpha (12/13) signalling events	10	0.0265906	0	0	1	1	
G alpha (i) signalling events	12	0.0319087	0	0	1	1	
G alpha (s) signalling events	5	0.0132953	0	0	1	1	
G alpha (z) signalling events	29	0.0771127	0	0	1	1	
Gamma-carboxylation of protein precursors	20	0.0531811	0	0	1	1	
Gamma-carboxylation, transport, and amino-terminal cleavage of proteins	9	0.0239315	0	0	1	1	
Gap-filling DNA repair synthesis and ligation in GG-NER	9	0.0239315	0	0	1	1	
Gap-filling DNA repair synthesis and ligation in TC-NER	9	0.0239315	0	0	1	1	
Gap junction assembly	2	0.00531811	0	0	1	1	
Gap junction degradation	4	0.0106362	0	0	1	1	
Gap junction trafficking	92	0.244633	0	0	1	1	
Gap junction trafficking and regulation	25	0.0664764	0	0	1	1	
G beta:gamma signalling through PI3Kgamma	70	0.186134	0	0	1	1	
Gene Expression	18	0.047863	0	0	1	1	
Generation of second messenger molecules	9	0.0239315	0	0	1	1	
Generic Transcription Pathway	23	0.0611583	0	0	1	1	
Global Genomic NER (GG-NER)	19	0.0505221	0	0	1	1	
Glucocorticoid biosynthesis	2	0.00531811	0	0	1	1	
Gluconeogenesis	13	0.0345677	0	0	1	1	
Glucose metabolism	2	0.00531811	0	0	1	1	
Glucose transport	2	0.00531811	0	0	1	1	
Glucuronidation	29	0.0771127	0	0	1	1	
Glutamate Binding, Activation of AMPA Receptors and Synaptic Plasticity	1	0.00265906	0	0	1	1	
Glutamate Neurotransmitter Release Cycle	12	0.0319087	0	0	1	1	
Glutathione conjugation	18	0.047863	0	0	1	1	
Glutathione synthesis and recycling	3	0.00797717	0	0	1	1	
Glycogen breakdown (glycogenolysis)	16	0.0425449	0	0	1	1	
Glycolysis	2	0.00531811	0	0	1	1	
Glycoprotein hormones	25	0.0664764	0	0	1	1	
Glycosaminoglycan metabolism	92	0.244633	0	0	1	1	
Glycosphingolipid metabolism	22	0.0584993	0	0	1	1	
Golgi Associated Vesicle Biogenesis	8	0.0212725	0	0	1	1	
Golgi Cisternae Pericentriolar Stack Reorganization	3	0.00797717	0	0	1	1	
Golgi to ER Retrograde Transport	27	0.0717945	0	0	1	1	
GPCR downstream signaling	25	0.0664764	0	0	1	1	
GPCR ligand binding	34	0.0904079	0	0	1	1	
G-protein activation	2	0.00531811	0	0	1	1	
G protein gated Potassium channels	3	0.00797717	0	0	1	1	
G-protein mediated events	2	0.00531811	0	0	1	1	
GPVI-mediated activation cascade	65	0.172839	0	0	1	1	
GRB2 events in EGFR signaling	72	0.191452	0	0	1	1	
GRB2 events in ERBB2 signaling	171	0.454699	0	0	1	1	
GRB2:SOS provides linkage to MAPK signaling for Integrins	7	0.0186134	0	0	1	1	
GRB7 events in ERBB2 signaling	41	0.109021	0	0	1	1	
Growth hormone receptor signaling	47	0.124976	0	0	1	1	
HATs acetylate histones	11	0.0292496	0	0	1	1	
HDACs deacetylate histones	9	0.0239315	0	0	1	1	
HDL-mediated lipid transport	28	0.0744536	0	0	1	1	
Hexose uptake	11	0.0292496	0	0	1	1	
Hh ligand biogenesis disease	11	0.0292496	0	0	1	1	
Highly calcium permeable nicotinic acetylcholine receptors	9	0.0239315	0	0	1	1	
Highly calcium permeable postsynaptic nicotinic acetylcholine receptors	9	0.0239315	0	0	1	1	
Highly sodium permeable acetylcholine nicotinic receptors	3	0.00797717	0	0	1	1	
HIV elongation arrest and recovery	5	0.0132953	0	0	1	1	
HIV Infection	85	0.22602	0	0	1	1	
HIV Life Cycle	87	0.231338	0	0	1	1	
HIV Transcription Elongation	89	0.236656	0	0	1	1	
HIV Transcription Initiation	69	0.183475	0	0	1	1	
Homologous DNA pairing and strand exchange	16	0.0425449	0	0	1	1	
Homologous recombination repair of replication-independent double-strand breaks	10	0.0265906	0	0	1	1	
Host Interactions with Influenza Factors	13	0.0345677	0	0	1	1	
HSF1 activation	6	0.0159543	0	0	1	1	
HS-GAG degradation	19	0.0505221	0	0	1	1	
HuR stabilizes mRNA	33	0.0877489	0	0	1	1	
Hyaluronan metabolism	103	0.273883	0	0	1	1	
Hyaluronan uptake and degradation	3	0.00797717	0	0	1	1	
Hydrolysis of LPC	14	0.0372268	0	0	1	1	
Hydrolysis of LPE	3	0.00797717	0	0	1	1	
